Country,Date of Admission,Year,AverageTemperature,Standard Deviation
armenia,2-Mar-92,1975,8.993,10.05838895
armenia,2-Mar-92,1976,8.345083333,9.603582338
armenia,2-Mar-92,1977,8.692083333,9.615807974
armenia,2-Mar-92,1978,9.047666667,8.824053308
armenia,2-Mar-92,1979,10.14641667,8.532310541
armenia,2-Mar-92,1980,9.358583333,9.477407024
armenia,2-Mar-92,1981,9.805416667,8.081860986
armenia,2-Mar-92,1982,8.274333333,9.478411656
armenia,2-Mar-92,1983,9.000583333,9.291174125
armenia,2-Mar-92,1984,9.06775,9.389616307
armenia,2-Mar-92,1985,9.17475,9.49466321
armenia,2-Mar-92,1986,9.306833333,9.552803347
armenia,2-Mar-92,1987,8.996666667,8.959715198
armenia,2-Mar-92,1988,8.626083333,9.03307239
armenia,2-Mar-92,1989,9.785833333,10.0861339
armenia,2-Mar-92,1990,9.258083333,9.435822241
armenia,2-Mar-92,1991,9.372583333,9.730511053
armenia,2-Mar-92,1992,7.614666667,9.543186587
armenia,2-Mar-92,1993,7.769666667,10.09240359
armenia,2-Mar-92,1994,9.02125,9.571655971
armenia,2-Mar-92,1995,9.892166667,9.0301153
armenia,2-Mar-92,1996,9.819166667,9.032443985
armenia,2-Mar-92,1997,9.246333333,9.334597497
armenia,2-Mar-92,1998,10.44841667,9.666833123
armenia,2-Mar-92,1999,10.331,8.632083621
armenia,2-Mar-92,2000,9.918166667,9.863617277
armenia,2-Mar-92,2001,10.44341667,9.093479077
armenia,2-Mar-92,2002,9.605,9.570081172
armenia,2-Mar-92,2003,9.423083333,9.325994068
armenia,2-Mar-92,2004,9.720166667,9.216752937
armenia,2-Mar-92,2005,9.735416667,9.634858101
armenia,2-Mar-92,2006,10.0535,10.57838172
armenia,2-Mar-92,2007,9.53525,10.11757777
armenia,2-Mar-92,2008,9.70675,10.60494872
armenia,2-Mar-92,2009,9.842083333,8.592188191
armenia,2-Mar-92,2010,11.5095,8.966039315
armenia,2-Mar-92,2011,9.136,9.95435583
armenia,2-Mar-92,2012,10.35075,10.42925686
armenia,2-Mar-92,2013,11.34375,9.58224851
australia,1-Nov-45,1960,20.55281818,5.16311764
australia,1-Nov-45,1961,21.96425,5.371975396
australia,1-Nov-45,1962,21.80291667,4.918136888
australia,1-Nov-45,1963,21.69783333,5.139058347
australia,1-Nov-45,1964,21.65075,4.656705803
australia,1-Nov-45,1965,22.09208333,5.257483471
australia,1-Nov-45,1966,21.361,5.113296197
australia,1-Nov-45,1967,21.62541667,5.148172976
australia,1-Nov-45,1968,21.46216667,5.457455465
australia,1-Nov-45,1969,21.84758333,5.150213596
australia,1-Nov-45,1970,21.77575,5.228502708
australia,1-Nov-45,1971,21.65433333,5.278968345
australia,1-Nov-45,1972,22.01208333,5.010905425
australia,1-Nov-45,1973,22.41275,4.674995734
australia,1-Nov-45,1974,21.23808333,4.781571698
australia,1-Nov-45,1975,21.69266667,4.599310232
australia,1-Nov-45,1976,21.19341667,4.986260403
australia,1-Nov-45,1977,21.8925,5.336631462
australia,1-Nov-45,1978,21.60516667,5.249951685
australia,1-Nov-45,1979,22.25233333,5.393800993
australia,1-Nov-45,1980,22.58616667,5.051675651
australia,1-Nov-45,1981,22.16408333,4.912527464
australia,1-Nov-45,1982,21.9105,5.484771952
australia,1-Nov-45,1983,22.26108333,5.309341706
australia,1-Nov-45,1984,21.51691667,4.980217273
australia,1-Nov-45,1985,22.04341667,5.334647087
australia,1-Nov-45,1986,22.09325,5.236074972
australia,1-Nov-45,1987,22.07241667,4.934119917
australia,1-Nov-45,1988,22.63008333,4.79247115
australia,1-Nov-45,1989,21.86283333,5.351967622
australia,1-Nov-45,1990,22.35575,5.359084558
australia,1-Nov-45,1991,22.48741667,4.870170735
australia,1-Nov-45,1992,21.93258333,4.872476698
australia,1-Nov-45,1993,22.16016667,4.849914767
australia,1-Nov-45,1994,22.03025,5.175657817
australia,1-Nov-45,1995,21.95516667,4.74661661
australia,1-Nov-45,1996,22.32533333,4.617017048
australia,1-Nov-45,1997,22.086,5.244167271
australia,1-Nov-45,1998,22.66483333,4.948850956
australia,1-Nov-45,1999,22.0645,4.701639086
australia,1-Nov-45,2000,21.70966667,4.96688123
australia,1-Nov-45,2001,21.79275,4.877426354
australia,1-Nov-45,2002,22.46083333,4.968545696
australia,1-Nov-45,2003,22.44033333,4.959216366
australia,1-Nov-45,2004,22.28691667,5.211089111
australia,1-Nov-45,2005,22.89683333,5.021251887
australia,1-Nov-45,2006,22.26441667,5.473443182
australia,1-Nov-45,2007,22.48675,5.281778714
australia,1-Nov-45,2008,22.22591667,5.071659231
australia,1-Nov-45,2009,22.69058333,4.952499671
australia,1-Nov-45,2010,22.07816667,4.985897327
australia,1-Nov-45,2011,21.767,5.049410587
australia,1-Nov-45,2012,22.0245,5.274847495
australia,1-Nov-45,2013,22.142875,5.62880737
austria,14-Dec-55,1960,7.489454545,6.335862915
austria,14-Dec-55,1961,7.185583333,7.356142251
austria,14-Dec-55,1962,5.441,7.769244926
austria,14-Dec-55,1963,5.650916667,9.334447897
austria,14-Dec-55,1964,6.203333333,8.224597446
austria,14-Dec-55,1965,5.637083333,7.329111809
austria,14-Dec-55,1966,6.873416667,7.389823573
austria,14-Dec-55,1967,6.838166667,7.481710072
austria,14-Dec-55,1968,6.37925,7.434076749
austria,14-Dec-55,1969,6.000333333,8.135316034
austria,14-Dec-55,1970,5.934833333,7.561897066
austria,14-Dec-55,1971,6.449333333,7.584283826
austria,14-Dec-55,1972,6.249833333,6.831660238
austria,14-Dec-55,1973,6.2135,7.716914415
austria,14-Dec-55,1974,6.891416667,6.180799014
austria,14-Dec-55,1975,6.898,7.112439295
austria,14-Dec-55,1976,6.416083333,7.342974285
austria,14-Dec-55,1977,6.916,6.604023773
austria,14-Dec-55,1978,5.786833333,6.835702316
austria,14-Dec-55,1979,6.404,7.247082799
austria,14-Dec-55,1980,5.633583333,7.336476928
austria,14-Dec-55,1981,6.503583333,7.766558094
austria,14-Dec-55,1982,6.918583333,7.916832257
austria,14-Dec-55,1983,7.187083333,7.879439475
austria,14-Dec-55,1984,6.061833333,7.001570185
austria,14-Dec-55,1985,5.923,8.410675716
austria,14-Dec-55,1986,6.316916667,8.195257547
austria,14-Dec-55,1987,6.1695,8.188585176
austria,14-Dec-55,1988,7.082166667,7.233594364
